source_slug,source_l3_scenario_id,skill_id,source_l2_scenario_id,farming_group,task_type,l2_biological_yield_kg,l2_recovered_yield_kg,l2_donothing_biological_yield_kg,l3_biological_yield_kg,l3_recovered_yield_kg,l2_vs_l3_bio_delta_pct,l2_vs_l3_recovered_delta_pct,skill_oracle_events_empty,non_dict_oracle_event_entries,card_missing_flow_major_actions,flow_major_actions_not_in_card,card_major_actions,flow_major_actions
hb_heinong60_highdensity_fertigation_irrigation_water_budget,scenario_full_season_hb_heinong60_highdensity_fertigation_irrigation_water_budget,emergence_fertigation_8_19,scenario_l2_hb_hn60_water_budget_emergence_fertigation_8_19,management,fertigation,9118.54,0.0,9028.58,9139.34,8632.3,-0.228,-100.0,False,0,,,"{""apply_fertigation"": 1}","{""apply_fertigation"": 1}"
hb_heinong60_highdensity_fertigation_irrigation_water_budget,scenario_full_season_hb_heinong60_highdensity_fertigation_irrigation_water_budget,r5_irrigation_40_55,scenario_l2_hb_hn60_water_budget_r5_irrigation_40_55,management,irrigation,9130.67,0.0,9118.54,9139.34,8632.3,-0.095,-100.0,False,0,,,"{""irrigate"": 1}","{""irrigate"": 1}"
hb_heinong60_highdensity_fertigation_irrigation_water_budget,scenario_full_season_hb_heinong60_highdensity_fertigation_irrigation_water_budget,harvest_window,scenario_l2_hb_hn60_water_budget_harvest_window,harvest,harvest_postharvest,9130.67,8624.22,9130.67,9139.34,8632.3,-0.095,-0.094,False,0,,,"{""dry_grain"": 3, ""harvest"": 16, ""store_grain"": 3, ""unload_grain"": 16}","{""dry_grain"": 3, ""harvest"": 16, ""store_grain"": 3, ""unload_grain"": 16}"
hb_high_weed_seedbank_mechanical_only_baseline,scenario_full_season_hb_high_weed_seedbank_mechanical_only_baseline,establishment_planting,scenario_l2_hb_weed_seedbank_establishment_planting,establishment,planting,6556.84,0.0,0.0,8389.45,7617.81,-21.844,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_high_weed_seedbank_mechanical_only_baseline,scenario_full_season_hb_high_weed_seedbank_mechanical_only_baseline,emergence_mechanical_weed_0_63,scenario_l2_hb_weed_seedbank_emergence_mechanical_weed_0_63,management,mechanical_weed,8244.85,0.0,6556.84,8389.45,7617.81,-1.724,-100.0,False,0,,,"{""mechanical_weed_control"": 7}","{""mechanical_weed_control"": 7}"
hb_high_weed_seedbank_mechanical_only_baseline,scenario_full_season_hb_high_weed_seedbank_mechanical_only_baseline,harvest_window,scenario_l2_hb_weed_seedbank_harvest_window,harvest,harvest_postharvest,8244.85,7446.54,8244.85,8389.45,7617.81,-1.724,-2.248,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_insect_after_fungicide_budget_conflict,scenario_full_season_hb_insect_after_fungicide_budget_conflict,standard_density_establishment,scenario_l2_hb_insect_budget_standard_planting,establishment,planting,7557.1,0.0,0.0,7880.53,7050.97,-4.104,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_insect_after_fungicide_budget_conflict,scenario_full_season_hb_insect_after_fungicide_budget_conflict,budgeted_disease_control,scenario_l2_hb_insect_budget_disease_control,management,fungicide,7845.13,0.0,7564.68,7880.53,7050.97,-0.449,-100.0,False,0,,,{},{}
hb_insect_after_fungicide_budget_conflict,scenario_full_season_hb_insect_after_fungicide_budget_conflict,r5_manual_insect_control,scenario_l2_hb_insect_budget_r5_manual_control,management,insecticide,7880.53,0.0,7845.13,7880.53,7050.97,0.0,-100.0,False,0,,,"{""apply_pesticide_manual"": 12}","{""apply_pesticide_manual"": 12}"
hb_insect_after_fungicide_budget_conflict,scenario_full_season_hb_insect_after_fungicide_budget_conflict,r8_harvest_dry_store,scenario_l2_hb_insect_budget_r8_harvest_store,harvest,harvest_postharvest,7880.53,7050.97,7880.53,7880.53,7050.97,0.0,0.0,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_laterain_insect_risk,scenario_full_season_hb_laterain_insect_risk,establishment_planting,scenario_l2_hb_laterain_insect_establishment_planting,establishment,planting,8494.78,0.0,0.0,8503.59,7218.12,-0.104,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
