source_slug,source_l3_scenario_id,skill_id,source_l2_scenario_id,farming_group,task_type,l2_biological_yield_kg,l2_recovered_yield_kg,l2_donothing_biological_yield_kg,l3_biological_yield_kg,l3_recovered_yield_kg,l2_vs_l3_bio_delta_pct,l2_vs_l3_recovered_delta_pct,skill_oracle_events_empty,non_dict_oracle_event_entries,card_missing_flow_major_actions,flow_major_actions_not_in_card,card_major_actions,flow_major_actions
hb_r5_leaf_feeder_defoliation,scenario_full_season_hb_r5_leaf_feeder_defoliation,harvest_window,scenario_l2_hb_r5_leaf_feeder_harvest_window,harvest,harvest_postharvest,8677.12,8060.17,8677.12,8678.88,8059.18,-0.02,0.012,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_storage_capacity_limit_batching,scenario_full_season_hb_storage_capacity_limit_batching,standard_density_planting,scenario_l2_hb_storage_capacity_standard_planting,establishment,planting,9038.62,0.0,0.0,9038.4,8301.7,0.002,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_storage_capacity_limit_batching,scenario_full_season_hb_storage_capacity_limit_batching,capacity_aware_first_batch,scenario_l2_hb_storage_capacity_harvest_batching,harvest,harvest_postharvest,9038.62,8304.9,9038.62,9038.4,8301.7,0.002,0.039,False,0,,,"{""dry_grain"": 2, ""harvest"": 16, ""store_grain"": 2, ""unload_grain"": 16}","{""dry_grain"": 2, ""harvest"": 16, ""store_grain"": 2, ""unload_grain"": 16}"
hb_storage_capacity_limit_batching,scenario_full_season_hb_storage_capacity_limit_batching,remaining_batch_after_west,scenario_l2_hb_storage_capacity_east_batch_after_west,harvest,harvest_postharvest,9038.62,8304.9,9038.62,9038.4,8301.7,0.002,0.039,False,0,,,"{""dry_grain"": 1, ""harvest"": 8, ""store_grain"": 1, ""unload_grain"": 8}","{""dry_grain"": 1, ""harvest"": 8, ""store_grain"": 1, ""unload_grain"": 8}"
hb_three_cultivar_wet_disease_dry_harvest_sequence,scenario_full_season_hb_three_cultivar_wet_disease_dry_harvest_sequence,three_cultivar_planting,scenario_l2_three_cultivar_preplant_fullfield_planting,establishment,planting,7327.37,0.0,0.0,7825.87,7317.73,-6.37,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 18}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 18}"
hb_three_cultivar_wet_disease_dry_harvest_sequence,scenario_full_season_hb_three_cultivar_wet_disease_dry_harvest_sequence,hn84_wet_disease_control,scenario_l2_three_cultivar_hn84_disease_control,management,fungicide,7804.75,0.0,7396.96,7825.87,7317.73,-0.27,-100.0,False,0,,,{},{}
hb_three_cultivar_wet_disease_dry_harvest_sequence,scenario_full_season_hb_three_cultivar_wet_disease_dry_harvest_sequence,hn58_dry_water_management,scenario_l2_three_cultivar_hn58_dry_water_management,management,irrigation,7825.87,0.0,7804.75,7825.87,7317.73,0.0,-100.0,False,0,,,"{""irrigate"": 1}","{""irrigate"": 1}"
hb_three_cultivar_wet_disease_dry_harvest_sequence,scenario_full_season_hb_three_cultivar_wet_disease_dry_harvest_sequence,zone_harvest_sequence,scenario_l2_three_cultivar_zone_harvest_sequence,harvest,harvest_postharvest,7825.87,7208.7,7825.87,7825.87,7317.73,0.0,-1.49,False,0,,,"{""dry_grain"": 3, ""harvest"": 18, ""store_grain"": 3, ""unload_grain"": 18}","{""dry_grain"": 3, ""harvest"": 18, ""store_grain"": 3, ""unload_grain"": 18}"
hb_two_dry_patches_one_irrigation,scenario_full_season_hb_two_dry_patches_one_irrigation,standard_density_planting,scenario_l2_hb_two_dry_patches_standard_planting,establishment,planting,9037.09,0.0,0.0,9059.59,7454.37,-0.248,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_two_dry_patches_one_irrigation,scenario_full_season_hb_two_dry_patches_one_irrigation,two_patch_irrigation_priority,scenario_l2_hb_two_dry_patches_irrigation_priority,management,irrigation,9052.16,0.0,9037.09,9059.59,7454.37,-0.082,-100.0,False,0,,,"{""irrigate"": 1}","{""irrigate"": 1}"
hb_two_dry_patches_one_irrigation,scenario_full_season_hb_two_dry_patches_one_irrigation,harvest_dry_store,scenario_l2_hb_two_dry_patches_harvest_dry_store,harvest,harvest_postharvest,9052.16,7448.63,9052.16,9059.59,7454.37,-0.082,-0.077,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
